phylum;subphylum;class;order;genus;name;taxID;jgiID 
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus ellipticus;41066;Aspell1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus eucalypticola;1340029;Aspeuc1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus fijiensis;1191702;Aspfij1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus filifer;447248;Aspfili1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus flavus NRRL3357;332952;Aspfl1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus luchuensis CBS 106.47;1137211;Aspfo1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus fumigatus Af293;330879;Aspfu1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus fumigatus A1163;451804;Aspfu_A1163_1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus funiculosus;176168;Aspfuni1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus glaucus CBS 516.65;1160497;Aspgl1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus heteromorphus;51019;Asphet1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus homomorphus;319626;Asphom1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus ibericus;301854;Aspibe1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus indologenus;1232676;Aspind1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus terricola var. indicus;138288;Aspind2_1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus insolitus;1131488;Aspinso1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus japonicus;34381;Aspjap1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus kawachii IFO 4308;1033177;Aspka1_1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus lacticoffeatus CBS 101883;1450533;Asplac1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus minisclerotigenes;656917;Aspmin1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus multicolor;41759;Aspmul1_1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus sp. JGI-2018a;2184044;Aspne1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus neoniger;1196635;Aspneo1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus neoauricomus;1883083;Aspneoa1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus niger ATCC 1015;380704;Aspni7
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus niger CBS 513.88;425011;Aspni_DSM_1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus niger NRRL3;1451139;Aspni_NRRL3_1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus niger ATCC 13496;1353008;Aspni_bvT_1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus nidulans;162425;Aspnid1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus nomius;41061;Aspnom1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus nomius NRRL 13137;1509407;Aspnom13137_1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus novofumigatus IBT 16806;1392255;Aspnov1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus novoparasiticus;986946;Aspnovo1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus ochraceoroseus IBT 24754;1392256;Aspoch1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus ochraceoroseus;138278;Aspoch1432_1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus olivicola;1250372;Aspoli1_1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus oryzae RIB40;510516;Aspor1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus parasiticus;5067;Asppar1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus parvulus;41750;Aspparv1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus penicillioides;41959;Asppeni1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus phoenicis ATCC 13157;1353007;Aspph1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus piperis;319630;Asppip1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus pseudocaelatus;1825620;Asppsec1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus pseudonomius;1506151;Asppsen1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus pseudotamarii;132259;Asppset1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus rambellii;308745;Aspram1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus recurvatus;41761;Asprec1_1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus restrictus;5064;Aspres1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus robustus;138281;Asprobu1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus roseoglobulosus;1250373;Aspros1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus saccharolyticus;979771;Aspsac1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus sclerotiorum;138282;Aspsc1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus sclerotioniger;319627;Aspscl1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus sclerotiicarbonarius;487660;Aspscle1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus sergii;1034303;Aspser1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus steynii IBT 23096;1392250;Aspste1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus stercoraria;1883081;Aspstec1_1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus stella-maris;1810926;Aspstel1_1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus sydowii CBS 593.65;1036612;Aspsy1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus taichungensis;482145;Asptaic1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus tamarii;41984;Asptam1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus terreus NIH2624;341663;Aspte1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus tritici;478866;Asptr1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus transmontanensis;1034304;Asptra1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus tubingensis CBS 134.48;767770;Asptu1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus udagawae;91492;Aspuda1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus undulatus;1810928;Aspund1_1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus unguis;40381;Aspung1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus uvarum;446911;Aspuva1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus vadensis;288669;Aspvad1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus versicolor CBS 583.65;1036611;Aspve1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus venezuelensis;1810929;Aspven1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus violaceofuscus;657443;Aspvio1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus wentii DTO 134E9;1073089;Aspwe1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus welwitschiae;1341132;Aspwel1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Penicilliopsis;Penicilliopsis zonata CBS 506.65;1073090;Aspzo1
Ascomycota;Pezizomycotina;Sordariomycetes;Xylariales;Astrocystis;Astrocystis sublimbata;743114;Astsub1
Basidiomycota;Pucciniomycotina;Atractiellomycetes;Atractiellales;Atractiella;Atractiella rhizophila;1938712;Atrsp2
Ascomycota;Pezizomycotina;Dothideomycetes;;Aulographum;Aulographum hederae;1176130;Aulhe2
Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricales;Auriculariopsis;Auriculariopsis ampla;97359;Auramp1
Basidiomycota;Agaricomycotina;Agaricomycetes;Auriculariales;Auricularia;Auricularia subglabra TFB-10046 SS5;717982;Aurde3_1
Ascomycota;Pezizomycotina;Dothideomycetes;Dothideales;Aureobasidium;Aureobasidium melanogenum CBS 110374;1043003;Aurpu_var_mel1
Ascomycota;Pezizomycotina;Dothideomycetes;Dothideales;Aureobasidium;Aureobasidium namibiae CBS 147.97;1043004;Aurpu_var_nam1
Ascomycota;Pezizomycotina;Dothideomycetes;Dothideales;Aureobasidium;Aureobasidium pullulans;5580;Aurpu_var_pul1
Ascomycota;Pezizomycotina;Dothideomycetes;Dothideales;Aureobasidium;Aureobasidium subglaciale EXF-2481;1043005;Aurpu_var_sub1
Ascomycota;Pezizomycotina;Dothideomycetes;Dothideales;Aureobasidium;Aureobasidium pullulans;5580;AurpulNBB1
Basidiomycota;Agaricomycotina;Agaricomycetes;Russulales;Auriscalpium;Auriscalpium vulgare;40419;Aurvu1
Ascomycota;Saccharomycotina;Saccharomycetes;Saccharomycetales;Babjeviella;Babjeviella inositovora;45609;Babin1
Mucoromycota;Mucoromycotina;Mucoromycetes;Mucorales;Backusella;Backusella circina;64653;Bacci1
Zoopagomycota;Entomophthoromycotina;Basidiobolomycetes;Basidiobolales;Basidiobolus;Basidiobolus meristosporus;423460;Basme2finSC
Basidiomycota;Wallemiomycotina;Geminibasidiomycetes;Geminibasidiales;Basidioascus;Basidioascus undulatus;1230402;Basun1
Chytridiomycota;;Chytridiomycetes;Rhizophydiales;Batrachochytrium;Batrachochytrium dendrobatidis JAM81;684364;Batde5
Ascomycota;Pezizomycotina;Dothideomycetes;Capnodiales;Baudoinia;Baudoinia panamericana UAMH 10762;717646;Bauco1
